place_id,name,address,latitude,longitude,rating,user_ratings_total,business_status,types,formatted_phone_number,website,has_ads,ads_confidence,search_query,level1_result,level1_confidence,level1_reason,level2_result,level2_confidence,level2_reason,level3_result,level3_confidence,level3_reason,total_score,final_confidence,final_has_ads
ChIJW5rZZAO6yhQRBtkbbji1Z9o,Fener Antik Mezat,"Yavuz Sultan Selim, Yıldırım Cd. No:13, 34087 Fatih/İstanbul, Türkiye",41.0298053,28.9512713,4.2,108,OPERATIONAL,"establishment, home_goods_store, point_of_interest, store",0532 587 77 49,,True,high,antique shop,True,high,High rating (4.0+) and many reviews (50+),False,low,Website not accessible,False,low,No ads indicators found in search results,1,medium,True
ChIJ1cMRxTm6yhQRgdXvQMmbo8Q,Gallery Antıque,"Binbirdirek, Divan Yolu Cd. No:17, 34805 Fatih/İstanbul, Türkiye",41.00804979999999,28.9738551,2.7,46,OPERATIONAL,"establishment, home_goods_store, point_of_interest, store",(0212) 516 19 30,,False,low,antique shop,False,low,Low rating or few reviews,False,low,Website not accessible,False,low,No ads indicators found in search results,0,low,False
ChIJpQy0mSe6yhQRh0lRTzlRAGA,Horhor Antikacılar Çarşısı,"İskenderpaşa, Kırma Tulumba Sk. No:1, 34080 Fatih/İstanbul, Türkiye",41.0129707,28.9516428,4.2,276,OPERATIONAL,"establishment, home_goods_store, point_of_interest, store",,,True,high,antique shop,True,high,High rating (4.0+) and many reviews (50+),False,low,Website not accessible,False,low,No ads indicators found in search results,1,medium,True
ChIJ52nqIae8yhQR5aV8mlSZmQs,Berol Antik,"Firuzağa, Çukur Cuma Cd. No:44 D:2, 34425 Beyoğlu/İstanbul, Türkiye",41.0316771,28.9806146,4.9,39,OPERATIONAL,"establishment, furniture_store, home_goods_store, point_of_interest, store",0533 478 72 25,http://www.berolantik.com/,True,medium,antique shop,True,medium,Good rating (3.5+) and decent reviews (20+),False,low,No Google Ads codes found,False,low,No ads indicators found in search results,1,medium,True
ChIJ4cR2egO6yhQR6zgmVtQz9SQ,Mekan Antik İstanbul,"Bahçeşehir 1. KISIM MAH. DOĞA PARKI CAD. A BLOK NO: 13 -15AF, 34488 Başakşehir, Bahçeşehir 1. Kısım, 34488 Bahçeşehir/İstanbul, Türkiye",41.0663956,28.694065,4.7,53,OPERATIONAL,"establishment, home_goods_store, point_of_interest, store",0536 613 36 95,http://www.mekanantik.com/,True,high,antique shop,True,high,High rating (4.0+) and many reviews (50+),False,low,No Google Ads codes found,False,low,No ads indicators found in search results,1,medium,True
ChIJWVbIxmG3yhQRmKSWcvcQY5s,Osmanlı Antik Palas,"Kuluğlu No:26/A-/A No:30, Kuloğlu, Faik Paşa Cd., 34433 Beyoğlu/İstanbul, Türkiye",41.0320191,28.9802931,3.8,18,OPERATIONAL,"establishment, home_goods_store, point_of_interest, store",0532 611 09 18,https://instagram.com/osmanliantikpalas,True,low,antique shop,True,low,Average rating (3.0+) and some reviews (10+),False,low,No Google Ads codes found,False,low,No ads indicators found in search results,1,medium,True
ChIJdelfP2a3yhQR_GycKRtiBJw,arşivCompany Vintage Dept.,"Bülbül, Turan Cd. No:92, 34435 Beyoğlu/İstanbul, Türkiye",41.0391088,28.9802725,4.7,56,OPERATIONAL,"establishment, furniture_store, home_goods_store, point_of_interest, store",0553 854 35 50,https://www.arsivcompany.com/,True,high,antique shop,True,high,High rating (4.0+) and many reviews (50+),True,high,"Found Google Ads codes: googletagmanager, google-analytics, gtag",False,low,No ads indicators found in search results,2,high,True
ChIJKdNneGG3yhQRBDUnerWm2a0,A La Turca Kilim Shop,"Kuloğlu, Faik Paşa Cd. No:4, 34433 Beyoğlu/İstanbul, Türkiye",41.0330096,28.9813418,4.4,26,OPERATIONAL,"establishment, furniture_store, home_goods_store, point_of_interest, store",(0212) 245 29 33,http://www.alaturcahouse.com/,True,medium,antique shop,True,medium,Good rating (3.5+) and decent reviews (20+),False,low,No Google Ads codes found,False,low,No ads indicators found in search results,1,medium,True
ChIJja9S2cK5yhQR4aXTNVMY3xg,Antika Çarşısı ( Büyük Çarşı ),"Kadı Mehmet, Efendi Mah, Kasımpaşa, Kulaksız Cd. No.5, 34000 Beyoğlu/İstanbul, Türkiye",41.03426899999999,28.965348,4.1,48,OPERATIONAL,"establishment, home_goods_store, point_of_interest, store",0537 417 62 12,,True,medium,antique shop,True,medium,Good rating (3.5+) and decent reviews (20+),False,low,Website not accessible,False,low,No ads indicators found in search results,1,medium,True
ChIJf8vNlVS5yhQRguENnZYtzYU,AntikAcı,"Firuzağa, Çukur Cuma Cd. No:19/A, 34000 Beyoğlu/İstanbul, Türkiye",41.03104200000001,28.979733,3.4,76,OPERATIONAL,"establishment, home_goods_store, point_of_interest, store",0546 748 74 03,,True,low,antique shop,True,low,Average rating (3.0+) and some reviews (10+),False,low,Website not accessible,False,low,No ads indicators found in search results,1,medium,True
